Reference, Value, Footprint, Datasheet, MFG, MFG PN, Description
"J3","Screw_Terminal_1x02","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_MKDS1.5-2pol","https://media.digikey.com/PDF/Data%20Sheets/Phoenix%20Contact%20PDFs/1868733.pdf","Phoenix Contact","1868733","CONN TERM BLOCK 2POS 5.08"
"RV1","100k","Potentiometers:Potentiometer_Bourns_PTV09A-1_Horizontal","http://www.bourns.com/docs/Product-Datasheets/PTV09.pdf","Bourns","PTV09A-4025F-B104","POT 100K OHM 1/20W CARBON LINEAR"
"R2","10k","Resistors_SMD:R_0603_HandSoldering","https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/AOA0000C331.pdf","Panasonic Electronic Components","ERJ-PA3F1002V","RES SMD 10K OHM 1% 1/4W 0603"
"C3","0.1uF","Capacitors_SMD:C_0603_HandSoldering","http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf","KEMET","C0603C104K4RACTU","CAP CER 0.1UF 16V X7R 0603"
"C2","4.7nF","Capacitors_SMD:C_0603_HandSoldering","http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf","KEMET","C0603C472K4RACTU","CAP CER 4700PF 16V X7R 0603"
"C1","10uF","Capacitors_Tantalum_SMD:CP_Tantalum_Case-A_EIA-3216-18_Hand","http://www.kemet.com/Lists/ProductCatalog/Attachments/256/KEM_T2008_T494.pdf","KEMET","T494A106K016AT","CAP TANT 10UF 16V 10% 1206"
"U1","OPA340D","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","http://www.ti.com/lit/ds/symlink/opa2340.pdf","TI","OPA340UA/2K5","IC OP AMP GP 5.5MHZ RRIO 8SOIC"
"RV2","100k","Potentiometers:Potentiometer_Bourns_PTV09A-1_Horizontal","http://www.bourns.com/docs/Product-Datasheets/PTV09.pdf","Bourns","PTV09A-4025F-B104","POT 100K OHM 1/20W CARBON LINEAR"
"J2","Screw_Terminal_1x02","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_MKDS1.5-2pol","https://media.digikey.com/PDF/Data%20Sheets/Phoenix%20Contact%20PDFs/1868733.pdf","Phoenix Contact","1868733","CONN TERM BLOCK 2POS 5.08"
"J1","Screw_Terminal_1x02","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_MKDS1.5-2pol","https://media.digikey.com/PDF/Data%20Sheets/Phoenix%20Contact%20PDFs/1868733.pdf","Phoenix Contact","1868733","CONN TERM BLOCK 2POS 5.08"
"D2","D_Schottky_x2_Serial_AKC","TO_SOT_Packages_SMD:SOT-23_Handsoldering","http://www.onsemi.com/pub/Collateral/BAT54SLT1-D.PDF","ON Semiconductor","SBAT54SLT1G","DIODE ARRAY SCHOTTKY 30V SOT23-3"
"D1","LED","LEDs:LED_0805_HandSoldering","https://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-C171GKT.pdf","Lite-On","LTST-C171GKT","LED GREEN CLEAR 0805 SMD"
"R1","147","Resistors_SMD:R_0603_HandSoldering","https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/AOA0000C331.pdf","Panasonic Electronic Components","ERJ-3EKF1470V","RES SMD 147 OHM 1% 1/4W 0603"
